Index	PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	[1] C_Schulte_290621_260821_UMG_Fu_R1_1.raw.PG.Quantity	[2] C_Schulte_290621_260821_UMG_Fu_R1_10.raw.PG.Quantity	[3] C_Schulte_290621_260821_UMG_Fu_R1_11.raw.PG.Quantity	[4] C_Schulte_290621_260821_UMG_Fu_R1_12.raw.PG.Quantity	[5] C_Schulte_290621_260821_UMG_Fu_R1_13.raw.PG.Quantity	[6] C_Schulte_290621_260821_UMG_Fu_R1_14.raw.PG.Quantity	[7] C_Schulte_290621_260821_UMG_Fu_R1_15.raw.PG.Quantity	[8] C_Schulte_290621_260821_UMG_Fu_R1_16.raw.PG.Quantity	[9] C_Schulte_290621_260821_UMG_Fu_R1_17.raw.PG.Quantity	[10] C_Schulte_290621_260821_UMG_Fu_R1_18.raw.PG.Quantity	[11] C_Schulte_290621_260821_UMG_Fu_R1_19.raw.PG.Quantity	[12] C_Schulte_290621_260821_UMG_Fu_R1_2.raw.PG.Quantity	[13] C_Schulte_290621_260821_UMG_Fu_R1_20.raw.PG.Quantity	[14] C_Schulte_290621_260821_UMG_Fu_R1_21.raw.PG.Quantity	[15] C_Schulte_290621_260821_UMG_Fu_R1_22.raw.PG.Quantity	[16] C_Schulte_290621_260821_UMG_Fu_R1_23.raw.PG.Quantity	[17] C_Schulte_290621_260821_UMG_Fu_R1_24.raw.PG.Quantity	[18] C_Schulte_290621_260821_UMG_Fu_R1_25.raw.PG.Quantity	[19] C_Schulte_290621_260821_UMG_Fu_R1_26.raw.PG.Quantity	[20] C_Schulte_290621_260821_UMG_Fu_R1_27.raw.PG.Quantity	[21] C_Schulte_290621_260821_UMG_Fu_R1_28.raw.PG.Quantity	[22] C_Schulte_290621_260821_UMG_Fu_R1_29.raw.PG.Quantity	[23] C_Schulte_290621_260821_UMG_Fu_R1_3.raw.PG.Quantity	[24] C_Schulte_290621_260821_UMG_Fu_R1_30.raw.PG.Quantity	[25] C_Schulte_290621_260821_UMG_Fu_R1_31.raw.PG.Quantity	[26] C_Schulte_290621_260821_UMG_Fu_R1_32.raw.PG.Quantity	[27] C_Schulte_290621_260821_UMG_Fu_R1_33.raw.PG.Quantity	[28] C_Schulte_290621_260821_UMG_Fu_R1_34.raw.PG.Quantity	[29] C_Schulte_290621_260821_UMG_Fu_R1_35.raw.PG.Quantity	[30] C_Schulte_290621_260821_UMG_Fu_R1_36.raw.PG.Quantity	[31] C_Schulte_290621_260821_UMG_Fu_R1_37.raw.PG.Quantity	[32] C_Schulte_290621_260821_UMG_Fu_R1_38.raw.PG.Quantity	[33] C_Schulte_290621_260821_UMG_Fu_R1_39.raw.PG.Quantity	[34] C_Schulte_290621_260821_UMG_Fu_R1_4.raw.PG.Quantity	[35] C_Schulte_290621_260821_UMG_Fu_R1_40.raw.PG.Quantity	[36] C_Schulte_290621_260821_UMG_Fu_R1_5.raw.PG.Quantity	[37] C_Schulte_290621_260821_UMG_Fu_R1_6.raw.PG.Quantity	[38] C_Schulte_290621_260821_UMG_Fu_R1_7.raw.PG.Quantity	[39] C_Schulte_290621_260821_UMG_Fu_R1_8.raw.PG.Quantity	[40] C_Schulte_290621_260821_UMG_Fu_R1_9.raw.PG.Quantity	[41] C_Schulte_290621_260821_UMG_Fu_R2_1.raw.PG.Quantity	[42] C_Schulte_290621_260821_UMG_Fu_R2_10.raw.PG.Quantity	[43] C_Schulte_290621_260821_UMG_Fu_R2_11.raw.PG.Quantity	[44] C_Schulte_290621_260821_UMG_Fu_R2_12.raw.PG.Quantity	[45] C_Schulte_290621_260821_UMG_Fu_R2_13.raw.PG.Quantity	[46] C_Schulte_290621_260821_UMG_Fu_R2_14.raw.PG.Quantity	[47] C_Schulte_290621_260821_UMG_Fu_R2_15.raw.PG.Quantity	[48] C_Schulte_290621_260821_UMG_Fu_R2_16.raw.PG.Quantity	[49] C_Schulte_290621_260821_UMG_Fu_R2_17.raw.PG.Quantity	[50] C_Schulte_290621_260821_UMG_Fu_R2_18.raw.PG.Quantity	[51] C_Schulte_290621_260821_UMG_Fu_R2_19.raw.PG.Quantity	[52] C_Schulte_290621_260821_UMG_Fu_R2_2.raw.PG.Quantity	[53] C_Schulte_290621_260821_UMG_Fu_R2_20.raw.PG.Quantity	[54] C_Schulte_290621_260821_UMG_Fu_R2_21.raw.PG.Quantity	[55] C_Schulte_290621_260821_UMG_Fu_R2_22.raw.PG.Quantity	[56] C_Schulte_290621_260821_UMG_Fu_R2_23.raw.PG.Quantity	[57] C_Schulte_290621_260821_UMG_Fu_R2_24.raw.PG.Quantity	[58] C_Schulte_290621_260821_UMG_Fu_R2_25.raw.PG.Quantity	[59] C_Schulte_290621_260821_UMG_Fu_R2_26.raw.PG.Quantity	[60] C_Schulte_290621_260821_UMG_Fu_R2_27.raw.PG.Quantity	[61] C_Schulte_290621_260821_UMG_Fu_R2_28.raw.PG.Quantity	[62] C_Schulte_290621_260821_UMG_Fu_R2_29.raw.PG.Quantity	[63] C_Schulte_290621_260821_UMG_Fu_R2_3.raw.PG.Quantity	[64] C_Schulte_290621_260821_UMG_Fu_R2_30.raw.PG.Quantity	[65] C_Schulte_290621_260821_UMG_Fu_R2_31.raw.PG.Quantity	[66] C_Schulte_290621_260821_UMG_Fu_R2_32.raw.PG.Quantity	[67] C_Schulte_290621_260821_UMG_Fu_R2_33.raw.PG.Quantity	[68] C_Schulte_290621_260821_UMG_Fu_R2_34.raw.PG.Quantity	[69] C_Schulte_290621_260821_UMG_Fu_R2_35.raw.PG.Quantity	[70] C_Schulte_290621_260821_UMG_Fu_R2_36.raw.PG.Quantity	[71] C_Schulte_290621_260821_UMG_Fu_R2_37.raw.PG.Quantity	[72] C_Schulte_290621_260821_UMG_Fu_R2_38.raw.PG.Quantity	[73] C_Schulte_290621_260821_UMG_Fu_R2_39.raw.PG.Quantity	[74] C_Schulte_290621_260821_UMG_Fu_R2_4.raw.PG.Quantity	[75] C_Schulte_290621_260821_UMG_Fu_R2_40.raw.PG.Quantity	[76] C_Schulte_290621_260821_UMG_Fu_R2_5.raw.PG.Quantity	[77] C_Schulte_290621_260821_UMG_Fu_R2_6.raw.PG.Quantity	[78] C_Schulte_290621_260821_UMG_Fu_R2_7.raw.PG.Quantity	[79] C_Schulte_290621_260821_UMG_Fu_R2_8.raw.PG.Quantity	[80] C_Schulte_290621_260821_UMG_Fu_R2_9.raw.PG.Quantity
1129	"141456.71;141456.71-2"	"O54988;O54988-2"	Slk	Mus musculus	"STE20-like serine/threonine-protein kinase;Isoform 2 of STE20-like serine/threonine-protein kinase"	SLK_MOUSE	3532.92	2844.18	2868.26	3874.50	2750.77	3196.82	5701.46	5422.47	6261.24	6460.99	6392.77	4046.75	2857.90	1786.03	3081.65	2627.41	2394.81	1916.90	3794.86	2246.59	2232.76	3218.19	2337.02	3544.42	3054.79	4584.94	4041.79	4545.84	2507.93	2716.31	4712.37	3626.83	2389.19	2820.80	3178.96	1723.57	3076.37	8205.38	3478.43	Filtered	3273.82	3341.99	2243.75	3890.44	2821.33	3344.40	5469.64	5462.58	6202.77	6411.66	6508.27	4204.43	2405.85	1547.11	3137.35	2454.47	1657.23	1957.85	3800.49	2335.50	2086.70	2331.22	627.28	3605.38	2780.36	4497.20	Filtered	3658.47	3445.25	2151.53	4135.22	2714.04	Filtered	2873.30	3521.31	Filtered	3166.83	7586.44	4150.24	2378.18
1130	156311.74	O54991	Cntnap1	Mus musculus	Contactin-associated protein 1	CNTP1_MOUSE	14620.48	13838.21	12451.25	14062.80	14489.11	13245.36	17354.64	18480.80	21148.75	21108.52	22978.60	14034.59	9829.57	8757.77	12027.12	10964.36	7535.90	7188.27	14177.81	8683.83	7409.08	11854.90	10442.67	14286.91	10613.72	19517.79	12652.10	17902.89	13087.19	12737.11	20072.64	10567.55	9878.00	13447.37	14923.59	9517.23	12495.94	6550.05	18935.75	9332.90	14386.66	13581.33	12490.75	13730.85	14035.01	13100.54	18052.43	19212.00	21231.35	20797.05	22079.14	13279.36	10453.09	7562.91	11733.91	11543.43	7493.65	7480.10	14050.83	8597.68	7943.91	10338.21	11211.51	13440.72	10704.63	18590.49	12879.31	17241.64	15296.72	12258.79	20208.12	10665.74	10606.08	12710.11	14345.78	9564.92	12614.99	7540.19	19585.49	9645.50
1131	20302.11	O55013	Trappc3	Mus musculus	Trafficking protein particle complex subunit 3	TPPC3_MOUSE	8987.08	8684.66	7194.82	8683.43	10862.66	9458.43	8828.60	10369.07	9430.32	8860.92	8958.80	11788.87	10129.04	15655.10	6351.94	8528.86	7348.47	9116.62	7882.29	9280.50	9550.00	11873.97	9841.78	11244.25	16663.36	11406.28	11839.86	5731.43	9293.71	9002.08	7565.28	11569.72	9794.41	7240.80	7167.10	7209.66	8097.55	16319.23	9286.38	9676.16	7109.41	10501.11	11751.93	7538.11	11437.34	10189.00	11359.83	7550.13	9151.50	8831.53	9167.42	8318.25	10926.06	11744.42	7942.92	9698.12	6872.11	9112.92	8106.87	10096.24	10961.68	11144.31	29377.13	8295.61	10484.74	15275.40	8810.52	6336.72	22557.45	10574.37	9535.98	13697.84	16211.77	9057.95	6104.78	8511.57	9832.95	16328.62	6911.11	12898.86
1132	21694.19	O55022	Pgrmc1	Mus musculus	Membrane-associated progesterone receptor component 1	PGRC1_MOUSE	10054.12	7789.45	10112.63	12620.79	10070.87	10546.80	13516.47	14291.54	17235.38	17339.70	13412.65	10796.13	7965.24	7649.56	9197.41	9528.61	7146.84	8809.99	13243.09	8025.41	8257.66	10385.14	12967.66	9853.92	11292.73	11299.75	8711.33	9063.62	9812.28	10267.28	11333.25	10323.44	10294.68	12164.91	9868.85	7056.78	10972.82	12721.51	12311.99	10070.37	9888.02	10427.89	9404.17	11552.21	12761.60	10294.00	14243.67	14414.65	18705.90	17089.00	13673.35	11568.11	7433.09	7339.19	9095.20	9216.50	7836.33	7359.41	14626.79	7982.42	10328.69	10928.31	11618.40	11020.02	11836.21	12175.91	7644.19	8808.32	7349.04	7279.11	10686.97	10222.00	5389.06	11965.83	9867.43	6294.06	10611.40	12375.39	13942.20	7777.93
1133	54319.4	O55026	Entpd2	Mus musculus	Ectonucleoside triphosphate diphosphohydrolase 2	ENTP2_MOUSE	4001.38	4145.82	3814.16	3557.92	3605.71	3544.81	4730.18	4497.96	5699.78	5150.23	5724.03	3059.51	3007.35	2068.94	2712.30	2861.20	1367.11	2399.02	3462.15	2289.15	3266.06	2090.57	2843.22	2770.01	2688.07	4410.60	3592.63	4490.32	3252.61	3875.34	5543.14	4166.42	1318.12	2918.42	3901.91	2383.49	3749.22	2168.43	3754.22	2663.26	3545.21	4170.21	3623.02	3477.79	3317.54	2920.54	4519.78	5016.62	5553.10	5267.94	6015.53	3119.72	2888.56	2319.10	3134.97	3046.42	1757.69	1706.20	3320.82	2277.52	2230.09	2554.55	2001.44	2757.71	3116.49	5026.19	4017.71	4664.87	6214.55	3122.20	6093.49	4128.37	2115.21	3205.23	4050.41	2046.99	4127.97	1761.17	3862.18	1839.05
1134	102449.23	O55029	Copb2	Mus musculus	Coatomer subunit beta'	COPB2_MOUSE	6609.72	5781.69	5355.90	6122.56	6764.24	6367.14	8075.85	8734.23	9659.20	8995.07	10968.83	7528.51	5708.58	5235.88	5611.47	4584.24	3634.92	3508.01	6165.02	4189.28	5043.94	4830.31	6341.63	7920.05	6843.38	8281.94	7314.49	7753.88	7339.02	6421.78	8068.53	6352.75	6394.20	5527.76	7582.62	5568.66	6436.72	26673.81	6907.00	5926.49	6937.42	5739.18	5814.14	5681.24	6858.22	5972.23	8326.23	8978.88	9809.50	8775.96	11454.93	7332.99	5864.03	4237.40	5549.87	4979.72	3442.01	3516.55	6046.87	4558.77	5236.62	5159.59	7811.04	6877.76	7313.08	8853.90	9118.19	7677.57	10085.41	6339.03	8129.68	9190.04	7379.41	5314.83	7621.97	4302.71	6214.86	27183.51	6942.43	6406.12
1135	"14485.22;14485.22-2"	"O55042;O55042-2"	Snca	Mus musculus	"Alpha-synuclein;Isoform 2 of Alpha-synuclein"	SYUA_MOUSE	8668.59	8638.88	6894.02	12248.90	10064.65	8845.57	6513.28	9593.02	8404.60	8397.36	10070.01	17032.50	17222.28	9199.78	6657.10	7318.23	6601.41	10064.41	6143.20	9070.36	7079.78	6916.45	17856.65	12240.19	11154.84	8921.35	14525.82	6243.80	18228.93	14048.07	7058.78	12371.59	10639.03	12455.74	4608.01	12052.20	12192.02	13138.85	6920.81	11264.67	13848.85	11784.38	11328.75	13273.58	15738.71	10939.91	6758.26	9367.21	7709.63	8718.97	10444.47	14864.13	12926.91	10706.80	6777.51	6087.24	7199.74	9475.62	5409.56	9141.08	7910.68	7054.95	16708.07	11982.84	10387.38	7163.37	16662.91	9463.46	15218.27	14150.08	5906.08	15980.84	7927.22	14536.21	4982.56	13187.65	13649.69	11375.77	9433.79	12860.27
1136	17347.95	O55057	Pde6d	Mus musculus	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	PDE6D_MOUSE	6896.40	6091.40	6345.57	8542.94	4688.60	5653.42	7560.08	4978.86	5959.57	6516.46	6134.56	7034.97	10919.56	6655.69	4394.78	4576.00	4586.52	4789.49	4367.28	5495.63	6377.33	6924.89	5653.77	6833.03	9871.45	5333.83	4873.48	5848.42	5642.94	6752.41	4854.00	11343.48	12937.69	8177.52	5689.76	5231.89	5998.23	4402.99	5254.34	4385.43	6824.42	5464.45	5624.89	7524.81	5880.18	5898.90	6245.69	5170.81	5192.69	6385.60	5505.12	6713.12	9402.23	6365.47	5000.19	4412.81	4091.61	5181.40	4371.60	5704.81	2924.37	5719.92	8276.81	6719.36	8273.43	3485.89	4328.93	4623.66	4768.61	7761.38	3887.51	8972.00	11097.51	7898.35	5645.89	7112.84	5835.83	4806.25	4846.57	2839.88
1137	36276.17	O55091	Impact	Mus musculus	Protein IMPACT	IMPCT_MOUSE	6797.81	5431.22	4866.00	8144.52	6904.39	6473.86	6700.69	7181.24	6176.81	6140.22	6361.18	7284.10	6399.66	6881.69	8844.75	6513.52	7776.84	10301.67	9705.13	7854.04	11017.47	8910.56	7526.71	6914.99	5577.97	4913.30	5956.05	6623.61	11173.03	7397.15	7012.81	8857.55	9383.58	8278.02	8508.79	4467.27	6785.51	5027.58	6246.71	5887.93	7689.42	6638.39	6304.23	7736.86	7219.48	6798.83	6714.81	7075.02	6013.72	6038.99	6647.75	6923.92	7575.00	6828.99	9205.83	6453.88	7878.34	9727.70	9356.65	8174.46	9641.95	7797.78	6491.23	7596.09	5936.04	5035.74	8788.75	7028.23	8390.65	8544.67	6962.65	8728.79	10376.03	8479.98	8064.46	6166.13	6964.95	7109.43	6965.83	6698.80
1138	"25652.75;25652.75-2"	"O55100;O55100-2"	Syngr1	Mus musculus	"Synaptogyrin-1;Isoform 1B of Synaptogyrin-1"	SNG1_MOUSE	215399.50	226796.64	215361.81	210221.78	198491.42	185437.08	265165.00	266866.25	298781.16	285374.44	321112.72	215444.20	166640.34	135148.75	161867.89	168834.16	107289.03	133047.53	187200.88	135135.27	160366.72	179294.94	215845.31	196361.19	202078.52	278285.56	198135.19	202562.63	209970.88	189755.28	233222.16	172931.73	150670.00	190459.52	188929.75	157660.31	204301.58	148687.41	192945.55	156985.16	208554.16	238706.72	216466.38	214271.72	205866.41	182034.48	269357.91	255619.06	302454.69	289820.44	327789.00	208083.81	175631.41	133826.11	160690.44	173229.22	111904.12	127149.73	195171.31	138908.97	156674.84	180112.91	243894.83	200954.02	210108.47	279117.84	212920.78	207312.69	230287.75	193136.38	235054.50	175555.06	157468.98	198135.58	197055.16	172982.66	218005.52	152918.50	203289.13	163839.38
1139	85965.78	O55106	Strn	Mus musculus	Striatin	STRN_MOUSE	7654.92	9489.29	8862.46	7506.99	6954.08	7402.82	8860.67	8528.52	10075.11	9403.41	9756.04	7053.48	5694.59	8054.29	5879.01	5597.29	5155.78	5241.74	6913.83	4431.47	5230.24	5750.74	11312.36	6545.57	5151.51	9802.08	10846.00	8503.62	8487.74	8605.32	9859.58	8506.88	10226.73	7893.82	6488.81	9861.92	7589.06	7936.58	5984.44	9298.38	7149.67	10792.97	7971.60	7493.88	6695.54	7399.24	9059.47	8535.14	9850.15	9569.96	10350.63	6982.71	8708.42	5662.18	5934.42	5766.85	4471.81	3462.95	7108.91	4975.88	4302.74	5337.52	10062.23	6300.57	6685.36	10947.40	12408.84	7211.25	15132.90	13706.32	9622.40	15633.83	5627.51	7688.83	7566.61	6909.62	7146.73	6373.85	6091.50	12070.63
1140	33363.21	O55125	Nipsnap1	Mus musculus	Protein NipSnap homolog 1	NIPS1_MOUSE	24523.47	24238.78	20295.46	25285.22	25517.48	20582.46	28719.66	32147.02	39363.03	36023.17	36318.07	22414.97	31553.39	15834.30	25303.54	19216.56	15628.69	20629.73	28451.94	17263.74	27434.58	18729.74	26062.19	29711.09	25748.43	27049.59	37288.91	37914.48	35791.61	27286.70	33154.06	30279.24	23472.63	23164.57	31424.32	19045.51	25842.95	19177.61	23421.47	37448.74	24580.94	28667.81	21840.45	23725.47	26715.87	26007.12	31038.63	31687.08	37758.00	36055.75	43796.20	28345.51	27471.77	18328.07	25545.43	21320.94	15519.07	21649.75	28449.08	18843.60	21372.23	21541.92	36701.28	31619.61	29316.13	31536.22	32568.45	34682.23	58423.63	40176.43	34051.73	33879.21	27681.96	22865.88	30679.33	18330.89	24960.34	20633.84	23999.88	56360.77
1141	"32932.73;32898.71"	"O55126;Q7TMG8"	Nipsnap2	Mus musculus	"Protein NipSnap homolog 2;Glioblastoma amplified sequence"	"NIPS2_MOUSE;Q7TMG8_MOUSE"	16973.04	19342.77	17330.18	19779.65	16126.32	13179.96	18977.31	21019.13	24856.80	22453.35	23006.70	17494.87	16190.22	10241.33	15648.16	14651.95	9226.36	12319.72	17402.85	11911.20	14649.71	15890.81	20547.99	20268.76	21394.09	20403.54	20603.94	25380.57	29416.20	19583.56	20740.22	20272.46	16733.27	12542.96	19941.13	16093.76	16990.53	12107.11	17127.47	15001.15	16725.42	16954.35	18043.30	17939.73	16287.01	13566.22	19969.88	21802.09	24934.74	21919.18	22702.09	17041.25	15866.46	10338.44	16088.32	14741.16	10149.71	12529.23	17396.32	12009.04	12049.63	16288.94	21258.41	21187.98	23943.79	21538.71	22043.97	25978.12	29505.87	20309.83	24647.79	22404.35	17260.46	14543.64	21066.73	13203.10	19032.07	13313.86	17993.10	16388.05
1142	26511.01	O55135	Eif6	Mus musculus	Eukaryotic translation initiation factor 6	IF6_MOUSE	2959.19	8838.55	7533.42	6220.07	3746.29	3675.18	4112.99	3781.24	2623.33	3790.62	3508.15	6202.78	7589.19	5890.10	2922.28	4039.64	7311.54	5137.17	2971.77	6832.44	7687.87	5100.12	3748.28	6103.04	12305.18	2679.41	7289.67	3574.11	7294.69	9333.70	3779.40	8795.70	6428.68	5877.37	6159.72	7939.01	3427.88	23947.32	3674.61	8402.67	4392.98	6910.46	7479.19	6022.51	3780.50	4769.30	4135.07	3175.21	3134.03	4838.11	5644.11	6260.87	8759.44	5724.34	4377.51	5295.56	5481.56	4890.36	2579.14	6962.00	8233.52	4106.11	10680.58	5646.11	12825.00	2718.08	2202.51	4191.00	11666.36	6234.36	2904.51	7264.76	4052.56	6226.63	3786.60	9090.19	4524.26	26426.18	5991.56	6633.52
1143	46136.02	O55137	Acot1	Mus musculus	Acyl-coenzyme A thioesterase 1	ACOT1_MOUSE	5056.75	1708.23	4083.51	4731.17	4679.27	2845.71	3271.17	3490.97	5283.21	5384.07	5124.96	7779.44	5657.58	6144.04	4951.15	3879.12	4492.69	5037.19	5454.69	4350.45	4392.78	4808.46	Filtered	5046.40	6216.78	4530.49	Filtered	3950.14	Filtered	3689.07	4652.33	4512.74	7978.49	4231.25	4927.80	2320.58	7103.12	5754.51	6772.61	2839.98	4912.13	Filtered	Filtered	4496.46	4951.49	3479.31	2827.55	3440.98	5691.40	5094.79	1917.81	8004.89	3984.44	3478.24	4851.10	4041.48	4408.56	5189.05	5358.20	4215.95	1248.82	3352.33	Filtered	5122.33	4887.42	3584.84	Filtered	4286.75	Filtered	Filtered	3139.89	2694.33	Filtered	3172.47	4708.50	1192.00	3456.00	4492.66	3356.21	Filtered
1144	12553.73	O55142	Rpl35a	Mus musculus	60S ribosomal protein L35a	RL35A_MOUSE	1319.60	1.02	Filtered	344.50	1.00	Filtered	Filtered	1096.70	1360.41	3944.12	1551.50	Filtered	Filtered	1.00	6029.86	Filtered	1108.00	1569.85	615.64	Filtered	Filtered	Filtered	Filtered	Filtered	1318.54	464.53	Filtered	1.00	Filtered	Filtered	1.00	Filtered	Filtered	239.77	1.00	Filtered	Filtered	45792.25	3039.14	712.91	145.32	341.51	Filtered	1060.09	Filtered	Filtered	Filtered	Filtered	612.66	483.48	Filtered	1365.32	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	819.73	1.00	Filtered	Filtered	Filtered	Filtered	2707.56	Filtered	Filtered	1.00	Filtered	Filtered	Filtered	Filtered	1.08	Filtered	Filtered	1.31	Filtered	57396.78	509.92	1314.07
1145	114858.04	O55143	Atp2a2	Mus musculus	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	AT2A2_MOUSE	84925.48	88226.18	78340.20	81887.53	84529.50	75507.45	104768.12	100311.70	105428.99	98144.09	118591.38	73933.73	66484.32	60766.54	67479.75	67705.83	48238.98	48964.08	72648.38	54286.96	68794.27	68712.08	87382.77	70609.06	69354.77	106272.98	81994.26	90215.27	81354.84	82484.37	104727.28	73319.71	74899.30	78516.55	81774.63	76065.63	81082.10	88296.31	76107.43	70430.43	82780.36	90489.60	82028.80	83069.23	82034.09	75737.50	105758.52	101034.20	105946.80	97753.20	119982.28	72648.49	69682.48	62067.99	65540.63	69048.88	48019.18	45731.88	71824.18	55487.52	67796.02	71486.12	88581.55	73219.16	72501.82	109390.22	86630.05	92220.05	86841.22	82404.59	108086.98	78171.01	77752.77	75476.08	83981.34	68699.36	79275.06	83938.95	71809.82	68763.63
1146	51373.17	O55222	Ilk	Mus musculus	Integrin-linked protein kinase	ILK_MOUSE	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1900.72	3070.07	3270.93	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1327.76	Filtered	Filtered	Filtered	Filtered	1888.49	1334.20	Filtered	Filtered	2246.23	Filtered	Filtered	2278.29	Filtered	Filtered	Filtered	2196.56	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	3377.42	3618.56	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1478.93	Filtered	Filtered	Filtered	Filtered	1545.45	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1454.94	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
1147	45126.13	O55229	Chkb	Mus musculus	Choline/ethanolamine kinase	CHKB_MOUSE	4498.38	8735.34	7162.31	7574.47	6874.84	9867.44	6319.77	4843.78	4480.78	5256.66	4786.55	7529.47	9788.54	7858.88	8917.00	6054.81	7675.77	6813.15	4774.01	9390.46	9206.67	8726.93	5883.28	8912.61	9114.79	4837.06	11956.31	8630.57	15166.65	12982.27	6088.23	16097.33	13617.90	10494.28	9438.12	6584.56	6025.97	6393.92	6384.21	6078.07	4573.30	9711.99	7328.73	7398.10	6745.30	10144.50	7117.86	4999.44	4784.45	5587.07	4619.69	7851.37	10144.62	8075.23	8874.42	6388.53	7724.01	6748.29	5159.82	9884.49	8019.56	9166.89	6976.63	8248.50	8779.25	5315.97	10271.25	7736.88	20523.15	13603.01	6853.24	12200.47	12122.97	9945.63	9896.87	6172.53	6317.03	6671.52	5871.52	6099.35
1148	28532.41	O55234	Psmb5	Mus musculus	Proteasome subunit beta type-5	PSB5_MOUSE	35353.33	71051.83	58077.46	50454.59	42698.85	53003.99	51073.71	37121.75	35060.96	38023.18	46373.59	52829.93	74938.61	58470.82	46835.15	39222.49	42008.71	34409.15	27292.44	49565.14	48501.51	50432.35	66172.97	55454.35	71551.62	52020.59	77367.60	68082.73	134125.64	96527.85	49972.11	87968.63	69626.86	59764.95	46474.93	47496.11	52007.48	57271.11	49851.59	71159.13	34977.39	74079.41	57726.93	50398.92	45124.03	50872.53	49171.58	36343.23	34634.98	35916.00	45616.37	55702.12	80555.91	66518.51	45342.75	37928.64	44564.45	36490.25	28643.89	48860.50	46337.39	56798.32	71167.90	61247.85	70891.48	57498.05	85047.27	65509.70	138850.55	114357.59	55753.05	98907.59	76010.09	61843.90	52348.73	47209.22	51608.25	60920.60	45061.31	74334.22
1149	"25249.85;25249.85-2"	"O55242;O55242-2"	Sigmar1	Mus musculus	"Sigma non-opioid intracellular receptor 1;Isoform 2 of Sigma non-opioid intracellular receptor 1"	SGMR1_MOUSE	1906.97	1112.58	1096.23	1440.02	431.45	1704.16	1522.17	2011.73	3148.47	2519.51	2110.95	2041.84	1776.62	832.02	1352.79	1513.44	1122.21	1463.98	1678.66	1937.08	Filtered	2188.75	380.61	2752.39	2759.72	2162.42	Filtered	2142.00	Filtered	Filtered	3010.07	1540.45	Filtered	1321.93	2696.88	955.65	2813.72	10633.95	1877.36	636.47	1294.75	2175.39	1044.59	2017.69	Filtered	1710.37	1806.55	2347.76	2380.93	3241.38	2091.24	1610.41	2800.22	1436.06	2041.57	1930.00	689.92	1080.80	1480.78	1318.07	Filtered	1268.97	Filtered	1969.50	3397.91	2538.28	1949.98	2748.27	Filtered	984.12	2985.78	2148.16	464.58	703.79	3167.66	371.24	2314.68	12429.96	1229.77	Filtered
1150	29174.68	O70152	Dpm1	Mus musculus	Dolichol-phosphate mannosyltransferase subunit 1	DPM1_MOUSE	6778.26	5617.78	6207.10	5806.57	8264.89	6012.75	6092.35	6347.27	6796.00	6570.76	6243.13	7107.61	6099.23	8001.64	6627.10	5082.82	6941.04	5625.11	6306.61	5484.84	5257.55	8148.38	6684.31	5494.79	11524.02	7445.74	6336.70	6393.49	6324.69	6890.48	6763.69	5634.82	6931.32	8514.30	6581.08	5443.21	5767.06	18855.95	6226.53	4214.22	6669.74	4716.24	7161.56	6596.01	6586.69	6472.42	6590.52	5555.67	6066.66	5357.94	6330.06	6515.88	5126.54	5168.54	6689.49	6503.50	5783.28	5220.33	5652.92	5317.66	5386.40	4870.98	8520.49	7118.29	9676.53	7038.47	5263.55	6789.26	7139.02	5365.50	4654.13	6490.13	6829.29	7170.88	6301.04	6379.29	5745.78	15674.44	5621.34	5437.25
1151	46151.54	O70172	Pip4k2a	Mus musculus	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	PI42A_MOUSE	8487.21	8635.48	10692.06	8727.18	10664.78	9548.44	9847.52	11354.08	8873.58	8425.64	11596.52	10592.54	10731.44	9556.14	7494.53	8250.44	9588.82	8646.65	9625.11	10362.81	15532.86	8743.25	14518.67	10609.55	10116.00	9959.06	13131.33	11080.33	7589.10	13235.13	13045.28	14899.65	10336.05	10913.98	9423.10	8075.53	8244.37	8275.16	9095.30	9054.28	10465.21	9078.97	11658.95	12804.71	8670.14	12921.80	9886.71	10601.43	8762.28	7989.43	11291.67	9942.84	12376.46	8742.69	7254.16	8186.03	9751.91	8116.65	9698.69	8847.26	14228.72	8367.81	14720.43	11960.35	9677.58	6829.85	9929.88	9795.31	13538.63	10673.41	10772.56	11724.44	10095.01	12369.04	9100.48	8048.93	8989.20	10776.24	9517.10	9469.51
